CustomerID,total_transactions,total_products,total_unique_products,total_sales,avg_product_value,avg_cart_value,min_cart_value,max_cart_value
12347,7,182,103,4310.0,23.681318681318682,615.7142857142857,224.82,1294.32
12348,4,31,22,1797.24,57.97548387096774,449.31,227.44,892.8
12349,1,73,73,1757.55,24.076027397260273,1757.55,1757.55,1757.55
12350,1,17,17,334.4,19.670588235294115,334.4,334.4,334.4
12352,8,85,59,2506.04,29.482823529411764,313.255,120.33,840.3
12353,1,4,4,89.0,22.25,89.0,89.0,89.0
12354,1,58,58,1079.4,18.610344827586207,1079.4,1079.4,1079.4
12355,1,13,13,459.4,35.33846153846154,459.4,459.4,459.4
12356,3,59,53,2811.43,47.65135593220339,937.1433333333333,58.349999999999994,2271.62
12357,1,131,131,6207.67,47.38679389312977,6207.67,6207.67,6207.67
12358,2,19,13,1168.06,61.47684210526315,584.03,484.86,683.2
12359,4,248,214,6372.58,25.695887096774193,1593.145,547.5,2876.85
12360,3,129,105,2662.06,20.63612403100775,887.3533333333334,534.7,1083.58
12361,1,10,10,189.9,18.990000000000002,189.9,189.9,189.9
12362,10,266,201,5226.23,19.647481203007516,522.6229999999999,303.76,829.99
12363,2,23,23,552.0,24.0,276.0,252.9,299.1
12364,4,85,70,1313.1,15.448235294117646,328.275,79.8,623.92
12365,2,22,22,641.38,29.153636363636362,320.69,320.69,320.69
12367,1,11,11,168.9,15.354545454545455,168.9,168.9,168.9
12370,4,167,143,3545.69,21.231676646706585,886.4224999999999,277.2,1590.82
12371,2,63,63,1887.96,29.96761904761905,943.98,360.0,1527.96
12372,3,52,34,1298.04,24.962307692307693,432.68,383.12,515.7
12373,1,14,14,364.6,26.042857142857144,364.6,364.6,364.6
12374,1,33,33,742.9300000000001,22.513030303030305,742.9300000000001,742.9300000000001,742.9300000000001
12375,2,17,14,457.5,26.91176470588235,228.75,227.20000000000002,230.3
12377,2,77,72,1628.12,21.144415584415583,814.06,626.6,1001.52
12378,1,219,219,4008.62,18.30420091324201,4008.62,4008.62,4008.62
12379,2,40,39,852.24,21.306,426.12,392.40000000000003,459.84
12380,4,104,77,2724.81,26.200096153846154,681.2025000000001,450.86,1040.39
12381,5,87,70,1845.31,21.21045977011494,369.062,4.5,1268.74
12383,5,99,84,1850.56,18.69252525252525,370.11199999999997,99.45,651.16
12384,2,27,26,585.27,21.676666666666666,292.635,292.58,292.69
12386,2,10,10,401.9,40.19,200.95,143.0,258.9
